Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.22,-.18,-.10,-.14,-.23,-.22,-.18,-.17,***,***,-.12,-.17,-.20
1881,-.19,-.14,.03,.05,.06,-.19,.00,-.04,-.16,-.22,-.19,-.07,-.09,-.10,-.17,.05,-.08,-.19
1882,.16,.14,.04,-.17,-.15,-.23,-.17,-.07,-.14,-.24,-.17,-.36,-.11,-.09,.08,-.09,-.16,-.18
1883,-.29,-.37,-.13,-.19,-.19,-.08,-.08,-.15,-.22,-.12,-.25,-.12,-.18,-.20,-.34,-.17,-.10,-.19
1884,-.13,-.09,-.37,-.40,-.34,-.36,-.31,-.29,-.28,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.35,-.32,-.29,-.24,-.25,-.11,-.34,-.36,-.41,-.38,-.37,-.26
1886,-.45,-.51,-.43,-.28,-.25,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.31,-.36,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.30
1888,-.35,-.37,-.42,-.20,-.22,-.18,-.11,-.17,-.12,.01,.02,-.05,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.10,.16,.05,.09,-.02,-.11,-.08,-.21,-.24,-.26,-.34,-.30,-.11,-.09,.01,.04,-.13,-.28
1890,-.43,-.45,-.41,-.30,-.40,-.25,-.29,-.40,-.37,-.26,-.44,-.32,-.36,-.36,-.39,-.37,-.31,-.36
1891,-.34,-.47,-.19,-.28,-.17,-.22,-.18,-.18,-.16,-.23,-.32,-.05,-.23,-.26,-.38,-.21,-.19,-.24
1892,-.30,-.12,-.41,-.34,-.24,-.23,-.32,-.28,-.17,-.14,-.43,-.39,-.28,-.25,-.16,-.33,-.28,-.25
1893,-.81,-.57,-.22,-.27,-.33,-.25,-.14,-.26,-.23,-.19,-.19,-.35,-.32,-.32,-.59,-.28,-.22,-.20
1894,-.54,-.31,-.24,-.46,-.33,-.42,-.25,-.26,-.29,-.24,-.27,-.23,-.32,-.33,-.40,-.34,-.31,-.27
1895,-.43,-.43,-.34,-.23,-.29,-.22,-.19,-.19,-.13,-.11,-.17,-.14,-.24,-.25,-.36,-.29,-.20,-.13
1896,-.22,-.12,-.26,-.30,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.05,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.18,-.21,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.02,-.30,-.51,-.31,-.31,-.19,-.23,-.27,-.21,-.34,-.39,-.23,-.28,-.27,-.18,-.37,-.23,-.31
1899,-.17,-.39,-.36,-.21,-.24,-.32,-.17,-.09,-.05,-.04,.12,-.26,-.18,-.18,-.26,-.27,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.05,.09,-.07,-.07,-.08,-.10,-.23,-.06,-.11,-.01
1901,-.22,-.11,.06,-.03,-.15,-.12,-.15,-.21,-.23,-.30,-.17,-.28,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.16,-.09,-.27,-.28,-.33,-.32,-.28,-.30,-.29,-.31,-.36,-.42,-.28,-.27,-.18,-.29,-.30,-.32
1903,-.24,-.06,-.23,-.41,-.40,-.43,-.35,-.46,-.49,-.47,-.42,-.51,-.37,-.36,-.24,-.35,-.41,-.46
1904,-.63,-.59,-.51,-.51,-.52,-.49,-.51,-.50,-.56,-.39,-.18,-.33,-.48,-.49,-.57,-.51,-.50,-.37
1905,-.35,-.59,-.22,-.34,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.19,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.38,-.15,-.23,-.22,-.23,-.17,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.47,-.42,-.35,-.34,-.34,-.23,-.46,-.47,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.33,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.44,-.52,-.49,-.43,-.43,-.41,-.46,-.40,-.44
1909,-.73,-.46,-.54,-.59,-.55,-.52,-.45,-.34,-.39,-.40,-.32,-.56,-.49,-.48,-.56,-.56,-.44,-.37
1910,-.42,-.40,-.50,-.43,-.34,-.38,-.34,-.37,-.39,-.41,-.57,-.67,-.44,-.43,-.46,-.42,-.37,-.46
1911,-.62,-.57,-.60,-.54,-.51,-.51,-.42,-.44,-.40,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.46,-.29
1912,-.25,-.14,-.38,-.17,-.22,-.24,-.43,-.55,-.58,-.58,-.39,-.43,-.36,-.34,-.20,-.26,-.40,-.51
1913,-.40,-.44,-.43,-.39,-.44,-.45,-.36,-.34,-.34,-.32,-.20,-.02,-.34,-.38,-.43,-.42,-.38,-.29
1914,.05,-.10,-.24,-.30,-.21,-.25,-.23,-.16,-.16,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.21,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.13,-.22,-.20,-.24,-.13,-.21,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.35,-.49,-.37,-.28,-.36,-.34,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.57,-.63,-.63,-.55,-.55,-.43,-.26,-.23,-.22,-.44,-.34,-.67,-.46,-.47,-.67,-.58,-.31,-.33
1918,-.48,-.34,-.25,-.44,-.43,-.36,-.32,-.32,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.23,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.25,-.27,-.12,-.24,-.27,-.36,-.30,-.26,-.21,-.27,-.27,-.47,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.22,-.29,-.30,-.27,-.14,-.26,-.18,-.03,-.14,-.17,-.19,-.21,-.23,-.27,-.22,-.12
1922,-.34,-.44,-.15,-.23,-.33,-.30,-.27,-.33,-.35,-.32,-.14,-.19,-.28,-.28,-.32,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.31,-.34,-.31,-.14,-.02,-.03,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.29,-.36,-.32,-.35,-.20,-.43,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.26,-.29,-.33,-.27,-.21,-.20,-.17,.06,.06,-.22,-.26,-.40,-.27,-.27,-.10
1926,.21,.03,.12,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.11
1927,-.27,-.17,-.38,-.30,-.26,-.27,-.19,-.24,-.12,-.01,-.05,-.33,-.22,-.21,-.24,-.31,-.23,-.06
